,Address,Txn_hash,blocks,date,from,txn_type,to,value,Txn_fee
10,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x1332455e0ff1aedea90ca0c0e5f762fffb082960ffd7a9722ab09a4c0115fff8,9473467,2020-02-13 8:02:07,0x8641df2d7c730a8a24db86693fc39f7a74dd4e9d, IN , Wrapped Ether,0 Ether,0.000342583254
11,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x8de8e631977cca9f68ffcf59045d14dd1d9c45f9bff1f18791aaf09887435b14,9473426,2020-02-13 7:54:15,0xbf6e3f70606c56d868d2e612eecb226a789c33af, IN , Wrapped Ether,0 Ether,0.000137852
12,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf52c351a7aea91cfcf09062b0b3029b119a8bd0f48e4bf7d038617817ad56a6e,9473426,2020-02-13 7:54:15,0xbf6e3f70606c56d868d2e612eecb226a789c33af, IN , Wrapped Ether,0 Ether,0.000150384
13,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x41b3577aa6cf57f31030815086c1c246739de1fd4a415fd2f5262df901e2ec09,9473423,2020-02-13 7:53:39,0x5a80d1e85ded15cb5ef5b551fdfde0c792622879, IN , Wrapped Ether,0 Ether,0.000088528
14,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x37372684c64774bae735c40c9c76de86ae1165e016287c96a5820cbf7a97d6bf,9473420,2020-02-13 7:53:14,0xbf6e3f70606c56d868d2e612eecb226a789c33af, IN , Wrapped Ether,0 Ether,0.000150384
15,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x446df6c675bd7f21115f39f5a024e65f62fafbf32023ba62ad7772ed5a533667,9473419,2020-02-13 7:52:56,0xbf6e3f70606c56d868d2e612eecb226a789c33af, IN , Wrapped Ether,0 Ether,0.000265584
16,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xcb03588e4746afa07f89f2fe6ae400472d5374bb372533bbd06bf25c682727b4,9473417,2020-02-13 7:52:44,0xf987920ccd03efe4be55bfded47c10ecd0de9fc1, IN , Wrapped Ether,0.003574748498833 Ether,0.0001925446
17,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xf049983c51f7465f992e31870447261827a135c647887bc6921521e1d9246c63,9473394,2020-02-13 7:49:11,0x1296d4a9fa924a289c270c4fa09e5332484c489c, IN , Wrapped Ether,0 Ether,0.000395028
18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xb66689fc33de8973f20f97b1f60a4f9c088e63325cd33f508cf35607d3335d26,9473393,2020-02-13 7:48:54,0x4cded69276094af002738f323834c75fa28d67d1, IN , Wrapped Ether,0.00033388958375 Ether,0.0002930446
19,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xd725159365f38471f8962dbddf9c23ce23c5afa46a0a6395616143c8bf47269e,9473390,2020-02-13 7:48:20,0xccba10276ea1efcf35882dc8e76eb7d193af9367, IN , Wrapped Ether,0 Ether,0.000149264
20,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc55b1cdd01b1f30f23ca12328de61caecef1327b555b01fe56ee21f31454e7d2,9473384,2020-02-13 7:46:59,0x4cded69276094af002738f323834c75fa28d67d1, IN , Wrapped Ether,0 Ether,0.0002965688
21,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xce52e7c49a8bf86a144f9c980a31d852471ec07b6bbbf9773785b121bb81c1a2,9473357,2020-02-13 7:42:14,0x9edf41e1fd3d7f258ea0b6d300bafc7bb57ebf03, IN , Wrapped Ether,0 Ether,0.000200736
22,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x844fb95a74a362ace1b71d9c9f789f6d038508418d04af508cd90a8f4b36fd7f,9473348,2020-02-13 7:41:09,0x579e9035bf45a94c9ee79fa3f12eca91ce6717b9, IN , Wrapped Ether,0.2 Ether,0.000229904
23,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x7590cbd7c134fe065735abd947523b3835283a41508d88db3509bf77632da339,9473331,2020-02-13 7:35:48,0x6924a03bb710eaf199ab6ac9f2bb148215ae9b5d, IN , Wrapped Ether,50.28 Ether,0.00057476
24,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xffa16bc1aee77a4b4695f8cf1302cee990ed7eeb33e1f26df7ba4659f13565e6,9473330,2020-02-13 7:35:41,0x40a981d92d6d9ad1532faa8e0bdef7d390d9aac4, IN , Wrapped Ether,0 Ether,0.000074632
25,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xb23b77fb979573b39802111e75cb634736a95dd0fb1bc2af99e06ce53b0692ff,9468817,2020-02-12 14:57:07,Binance 7,OUT, Binance USD,0 Ether,0.000523323
26,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x5c67d262ec4eb7edda121d37ee8915a85d1df8f8746afe865d5ba3d2b49a2ad0,9468808,2020-02-12 14:55:12,Binance 7,OUT, ChainLink Token,0 Ether,0.000464517
27,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xff7e2c6b2da701a8f4daec1ce05b8bc8689109d4d04a27f9daf349fd244ac1b6,9437041,2020-02-07 17:53:32,Binance 7,OUT, Crypto.com: MCO Token,0 Ether,0.000421536
28,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xd954cae00768b1a0372f59a5ee25d297039a246a7cf4b83cf5c0b2b0b33cf5e5,9429698,2020-02-06 14:38:54,Binance 7,OUT, Binance USD,0 Ether,0.000523323
29,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xcc7349a90d72b37829bda7b869829bbff58e5f4a46bf927649a0361289a3f2a8,9429470,2020-02-06 13:51:26,Binance 7,OUT, Monetha Token,0 Ether,0.000478233
30,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xdcee232f66c7959d71ca5341ed82ac4025f4a6c3f5396ddab202225cdfc60c6b,9418235,2020-02-04 20:16:44,Binance 7,OUT, Enigma Token,0 Ether,0.00026722
31,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xf46dcc27ea798bd69256483148fc7b145bf512588dc551ee1ce65d862b83401a,9417204,2020-02-04 16:27:21,Binance 7,OUT, Enjin Coin,0 Ether,0.000293792
32,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x4b66597cca5d9c9513c2ebc0f1e26f4d06f63a820727b0eb6a965fbb299aa5eb,9410732,2020-02-03 16:36:28,Binance 7,OUT, 0x8f8e8b3c4de76a31971fe6a87297d8f703be8570,0 Ether,0.000025374
33,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x7b4376457d0a0ff00acb9212d428cca33d56064a9dd3d627a57bb2df593ea4a6,9410708,2020-02-03 16:30:25,Binance 7,OUT, Loom Token,0 Ether,0.000044012
34,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x4a9cbb8cac6393aeeb4673d05e00c956a30ce66105b1419a5433db2b167988ca,9409828,2020-02-03 13:22:42,Binance 7,OUT, StatusNetwork Token,0 Ether,0.000667236
35,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xcb30816267aa875d99a7d828b92bebf9ab938645a4033b998437ed164e4a5ec3,9398588,2020-02-01 20:07:19,Binance 7,OUT, 0x5732046a883704404f284ce41ffadd5b007fd668,0 Ether,0.00011268
36,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xe0b1822880984f85327682944ab1fa81c813d1f901574cb8917a96f11112318e,9398513,2020-02-01 19:51:50,Binance 7,OUT, Binance USD,0 Ether,0.0000949498
37,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x056074b070e9f1b38d4c4a82a5aafac5649aa88093ba36cbc5c12ab78ab9aa68,9361985,2020-01-27 5:02:18,Binance 7,OUT, Decentraland Token,0 Ether,0.0001259064
38,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x7511939d8c16e840fa722c9fe2e34b4efe6c2299c42443c169ab0ab317c1b12e,9315719,2020-01-20 2:48:47,Binance 7,OUT, LoopringCoin V2 Token,0 Ether,0.000311106
39,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xcb0382eee5083ca3b228f2818e391df10bfd8445411327ef28d125ed27b6b1ad,9312962,2020-01-19 16:55:27,Binance 7,OUT, Waltonchain Token,0 Ether,0.000043418
40,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x3fcce8566a58819da1e373f460fe4eab1af767e04d0a78c354aa93c89ae1ceb2,9312953,2020-01-19 16:53:24,Binance 7,OUT, IoTeX Network Token,0 Ether,0.000046614
41,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x247e307312a76ab276cd5dbc967ffb878af5f4a8697576022ac1e258d6274b59,9310760,2020-01-19 8:45:53,Binance 7,OUT, Insolar Token,0 Ether,0.000318414
42,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x1191ce244e3c000094b896e8204c47dd0e22f6a1b6e530decb4374c2ce556196,9310752,2020-01-19 8:43:47,Binance 7,OUT, IoTeX Network Token,0 Ether,0.000229914
43,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xb53d48cf6617b8c79695c525798ddef09ceb5a08c97fafbbc6cc00ea8a64c0d6,9299605,2020-01-17 15:37:47,Binance 7,OUT, 0xb1cd6e4153b2a390cf00a6556b0fc1458c4a5533,0 Ether,0.000149352
44,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x6ea525db7570339fa98f421ba5b2e768473501bdf32b52c35bfdaa917aff19cc,9299564,2020-01-17 15:30:01,Binance 7,OUT, Binance USD,0 Ether,0.000465272
45,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xb9607745f82775ad03cafaa5c790f3bcf7c07f0d8add236bf22102dc0fc66d5f,9299559,2020-01-17 15:29:08,Binance 7,OUT, Bancor Token,0 Ether,0.00030096
46,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x96a890b6cdc4f685cb57c5b5a44a6467d0e719f89160f05d4327f1800db25af6,9298088,2020-01-17 10:09:40,Binance 7,OUT, Bancor Token,0 Ether,0.00030096
47,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xd75a106c66697e7b79d15f54c81f2ddcea59770d2d633463d991c42a736f6364,9293201,2020-01-16 16:12:42,Binance 7,OUT, Elrond Token,0 Ether,0.000088616
48,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0xc2fede8deb81a270d008a07cd1da00348823039a3f9f3f9f70ec72184f4262ad,9293122,2020-01-16 15:56:22,Binance 7,OUT, Elrond Token,0 Ether,0.000312924
49,0xbe0eb53f46cd790cd13851d5eff43d12404d33e8,0x7349b4308d6c16cd2774379b7654e8aa2f35049f411c9bfab8cc072e4104c4b3,9293097,2020-01-16 15:50:52,Binance 7,OUT, AdEx Token,0 Ether,0.000386022
50,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xee5fd59cdbe38a5a13c209f459e45f77b180a2b38be5dd614c9bbfc4177b9774,9473460,2020-02-13 7:59:54,Bitfinex 5,OUT,Bitfinex 4,"50,000 Ether",0.000168
51,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xeb8100fd1938d450e151f8cd0bf5f623f58505234e0ab0107db123541d510a44,9467587,2020-02-12 10:20:21,Bitfinex 4, IN ,Bitfinex 5,319.73128 Ether,0.000315
52,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xc158a5a313b43e74047085ef9cd9e9b0ff0e73f7c964ccdb0f9dc61edc6046e0,9467437,2020-02-12 9:46:32,Bitfinex 4, IN ,Bitfinex 5,104.85693 Ether,0.000315
53,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xb880c1092066cfc67dd4713b0b59acfa6f452b811d4904604bd99e4a2d47f396,9467415,2020-02-12 9:40:47,Bitfinex 4, IN ,Bitfinex 5,102.12264 Ether,0.000315
54,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x98ac3bd128d936ee84a60ec17201b9ee42cb6ed9b7be942f7457a18d8ed10263,9467305,2020-02-12 9:16:17,Bitfinex 4, IN ,Bitfinex 5,"7,424.76944 Ether",0.000315
55,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xeb21aa6f94f8b9af39c11a7810ef72cc95022c8de810ba368e435288c7b1322d,9467254,2020-02-12 9:06:23,Bitfinex 4, IN ,Bitfinex 5,620.07901 Ether,0.000315
56,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xdadb33ae86e299e3f8c6d2f0500eda30a57576f883311a6fa6fd53c4955244b5,9467231,2020-02-12 9:01:24,Bitfinex 4, IN ,Bitfinex 5,322.00048 Ether,0.000315
57,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x34920348513b7f666f6e4f3fdc7e7d9d66080661f91ab3bc66ed6eea32c411fe,9466913,2020-02-12 7:46:10,Bitfinex 4, IN ,Bitfinex 5,809.52285 Ether,0.000315
58,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xa5d020fb30f57f2ae0236fdf4d8549caebadac2e38a407fd2ed2dc4cb69fc0a2,9464927,2020-02-12 0:21:43,Bitfinex 4, IN ,Bitfinex 5,369.85641 Ether,0.000315
59,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x94fefffa192eab85c30c5eed225d9fd2ed6b346ed8f26390cba57b18745c3d87,9464899,2020-02-12 0:16:21,Bitfinex 4, IN ,Bitfinex 5,433.63537 Ether,0.000315
60,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xd9da8ded7579346aa8d4de289e029c7def225cd26fd6d9c39e3923f00f0a2118,9464878,2020-02-12 0:11:32,Bitfinex 4, IN ,Bitfinex 5,258.22013 Ether,0.000315
61,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xd3558f3bba73b47b747b0d86e45348be716e9464099f83dc494c4779fe7fbf9a,9464449,2020-02-11 22:31:13,Bitfinex 4, IN ,Bitfinex 5,129.31135 Ether,0.000315
62,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xbaa4a8578bda344969a6544832840aaf9712a0e68e91b913d08e4c2186f986db,9464326,2020-02-11 22:06:24,Bitfinex 4, IN ,Bitfinex 5,160.56663 Ether,0.000315
63,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xbfec1f14522f6bb7b157e91f0621549c888aff242567f31ee00c3a430e3b23b0,9464127,2020-02-11 21:26:33,Bitfinex 4, IN ,Bitfinex 5,149.11908 Ether,0.000315
64,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xf0bd759b1f80371ab6c60182672e170f89546077d2aa08dd1b19e9da9bb0cfff,9464095,2020-02-11 21:21:05,Bitfinex 4, IN ,Bitfinex 5,525.82246 Ether,0.000315
65,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x4820b153660cb790ce205fcba001e70e723f4a71b6744af97ff89a1539ac0181,9463963,2020-02-11 20:51:23,Bitfinex 4, IN ,Bitfinex 5,988.86393 Ether,0.000315
66,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x053746ee0af164358db2cffd27df5477bce7fc7b4de86519f31cefe7624504dc,9463898,2020-02-11 20:36:38,Bitfinex 4, IN ,Bitfinex 5,182.09022 Ether,0.000315
67,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x574d265d139ca0efb979bca42deaecd4018b2d4ba311d8977579afc4baf006a2,9463875,2020-02-11 20:31:18,Bitfinex 4, IN ,Bitfinex 5,260.02726 Ether,0.000315
68,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xb9143975419e91516c667ca4661ba1d52986e2b7dfa9306c55a0827cb8cab3a7,9463858,2020-02-11 20:26:27,Bitfinex 4, IN ,Bitfinex 5,548.69079 Ether,0.000315
69,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xc51c861f7f995fd5b42455cfe21b41fe39858f72a62713103b06424af6ffd9bf,9463504,2020-02-11 19:10:54,Bitfinex 4, IN ,Bitfinex 5,110.68605 Ether,0.000315
70,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x71c6fe974e6eaca88047dca74afea0e9f4c2e27e89200113207fd47e44eeae1b,9463457,2020-02-11 19:01:38,Bitfinex 4, IN ,Bitfinex 5,123.65825 Ether,0.000315
71,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xe83a47a319175e91a1c1590da47a3eabca3baea87a30e020410852a986f1af2c,9463221,2020-02-11 18:05:55,Bitfinex 4, IN ,Bitfinex 5,125.16145 Ether,0.000315
72,0x742d35cc6634c0532925a3b844bc454e4438f44e,0xecff992dd62b87692c7961fdf048477b0a7d43618e832d4fb869f9e1a8f21410,9463198,2020-02-11 18:00:35,Bitfinex 4, IN ,Bitfinex 5,123.93679 Ether,0.000315
73,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x5302570d100a464832849f291d1f8f93c3eab646d0023b3d80b8c33674c2ded1,9463177,2020-02-11 17:56:31,Bitfinex 4, IN ,Bitfinex 5,216.45372 Ether,0.000315
74,0x742d35cc6634c0532925a3b844bc454e4438f44e,0x77b99674068ec7f17abd3a37b9588327515887cf99151193cc9787cc539f879f,9463129,2020-02-11 17:46:11,Bitfinex 4, IN ,Bitfinex 5,436.92995 Ether,0.000315
75,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x7b690781ff81a02577d36eb0f01bc7a350efc26d8354ce40af585d6d6234127a,9246792,2020-01-09 13:44:38,Upbit Hacker 10.146, IN ,Huobi 6,0.015 Ether,0.00042
76,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x069316ef1f01458964a3bffdbde83dd10f439e1dacbb2a8c8dfdd8fb06ae6da6,9189912,2019-12-31 8:00:16,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
77,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x454f9d74db4630fd1f37036010f5d93d0cb4167e99f85ec7db0bfcf2dc82a870,9189912,2019-12-31 8:00:16,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
78,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xbe5a28f5e5330db7c5112360c440242c1a1ec7c4f03f6a8c1e7864e63db338b0,9189912,2019-12-31 8:00:16,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
79,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x469707d58a3248e7d9d6e404eb3445a4ff63dbab111160ef9c9c61af60b2eef8,9189912,2019-12-31 8:00:16,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
80,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xae299100bba6f76c9d30b8af6f5e59dcb935184345c2d779048ab1d9dde31474,9189912,2019-12-31 8:00:16,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
81,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x0f171ba957249d95e2f680dcb804226e6fb7cf415982c536533507a8fbdc2b9b,9189912,2019-12-31 8:00:16,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
82,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x9a9d9ca091fecaef5675f0581a342528c26024bd2eaa9c557577cf73ef8f1656,9189912,2019-12-31 8:00:16,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
83,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x7ce3ed67718cddda76fbe0f7e4d1b25a61e69381cb169fb6766a1218b00f4fa9,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
84,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xa59ba24afc51c2ed1a500b4e0b86ed6a9b8485334912eb848ba3781d85588454,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
85,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x4dff2c61e4da06cf3218ebbdda86d23785a6c91b6e7fb10ee63fa069ab049485,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
86,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x32252364212bf21e7175180587ab0ffb1e55354c5b888448b4e34670dd8632d5,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
87,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x9dad39c3fee8abdf8aea07be1c6dffed4fc3d004abc0ca5c71e221d59763cf8d,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
88,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x730ac2e95ff958bafee2f177bdcbdcd2772940999583879e1586a5053e49d314,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
89,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x000b95cec25b5ccf310a4e5e7ab675d700f85e046615910380a75a514e114526,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
90,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xad7bbebf2eb1c16ba6dd3a4cc80fa122ab507375b5cdb297f06e7eb1bd679522,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
91,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xe5700157effea652f5504ba2cefb86bff512e34719e73489dec011d8bb245733,9189901,2019-12-31 7:56:58,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
92,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xb927ade2462e58c966de756419cf1f95113ca73b1d01796329f9ff607de7e91d,9189900,2019-12-31 7:56:36,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
93,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xe0b0d29403d5667a00072166a3f5cbb84f2abdc2d68ce2da3744fe01c937fa33,9189887,2019-12-31 7:54:27,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
94,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x3eda756bd08296b795b23ac22f8496757011b1f39b2c8009fb8763b1a24733c8,9189887,2019-12-31 7:54:27,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
95,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x5ba447563ba2938fc60e47b0627133550c1fe330ca925a7e5f793bfccbe7b338,9189887,2019-12-31 7:54:27,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
96,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xe72527a04063088273ff93bcfe29ec64247b25bbee3e5db372dfb8bf0eca09dc,9189887,2019-12-31 7:54:27,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
97,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x57e904fbedf011cd951fc8f47962d3946bfe162bb1cb7df4a90a31371fbec51f,9189886,2019-12-31 7:53:21,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
98,0xdc76cd25977e0a5ae17155770273ad58648900d3,0xed292727ec3ffb512656c7e0cc9a87f4835becb53a090a37722b22056016641c,9189886,2019-12-31 7:53:21,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
99,0xdc76cd25977e0a5ae17155770273ad58648900d3,0x3aa2e174dc12b9470ea02e75ebf11530c9426de737351896f677319f6cc71a26,9189886,2019-12-31 7:53:21,Huobi 13, IN ,Huobi 6,"5,000 Ether",0.000735
100,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,0x944c51f316c34277465b6e6ca891dfb226c795db84a1062789ee576f133f440d,8762470,2019-10-18 3:21:03,0x5ddcf1abcd95a14b4b4e4e10379c64340d564c65, IN ,Kraken 6,0 Ether,0.000021
101,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,0x49055ddae0b850af19df91da87fa4e77ec535b96cd2f6ae9f2d0672f93159b35,8736428,2019-10-14 1:05:38,0x563992141d72a087b3c42654848e1bf9c3181ab7, IN ,Kraken 6,0.00158619 Ether,0.00021
102,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,0xcf5bf03763dda3f243e17674b31979067389ab54b8ef12ea9a42420db0857ac8,7456225,2019-03-28 9:25:31,0xdbc6c90a259f1353f79a2a34bda1ab2ef008bebc, IN ,Kraken 6,0.05 Ether,0.000063
103,0x53d284357ec70ce289d6d64134dfac8e511c8a3d,0x7cd5d3e6792ca3cceb5674d60d8c60a64fa6a0556ab1541371a2c39547c30fdd,6205860,2018-08-24 15:36:48,0x063e3ca65c9f3bf3a63d373e6b2a6db76f6d6263, IN ,Kraken 6,0 Ether,0.00180096
